"","Genotype","treatment","survival_frequency","Group","used","name","CS_number","country","latitude","longitude","altitude","group","DroughtIndex","Lifespan","Fruitnumber","RGR","rosetteDM","Growthrate","ScalingExponent","BTDAY","LDMC","LNC","SLA","StrucRes","Leaf_Area_mm2","Trichomes","SeedProd","LMR","Plant_Area_cm2","LLS","LN","TR","PN","ER","SLArosette","LDMCrosette","LT","GR","FITC","VD","LMA","Amass","Narea","AmassPlant","RER","AnnualMeanTemp","MeanTempDiurnalRange","Iso.thermality","TempSeasonality","MaxTempWarmestMonth","MinTempColdestMonth","TempAnnualRange","MeanTempWettestQuarter","MeanTempDriestQuarter","MeanTempWarmestQuarter","MeanTempColdestQuarter","AnnualPrecipitation","PrecipitationWettestMonth","PrecipitationDriestMonth","PrecipitationSeasonality","PrecipitationWettestQuarter","PrecipitationDriestQuarter","PrecipitationWarmestQuarter","PrecipitationColdestQuarter","AI","PET","P50","LeafArea_mm2","SLA_m2.kg","LDMC_mg.g","RWC"
"35","6897","WD-LT",0.3,"centre","yes","Ag-0","CS76430","FRA",45,1.3,NA,"western_europe",NA,NA,NA,NA,NA,NA,NA,63.625,140.1395106,2.7175,33.96030337,0.048702789,0.645974547,3.125,37.13392026,40.431,74.22403433,29,84,6.182342962,NA,2.05273804,19.4662795,0.193648279,NA,0.105450969,1809.165822,4.785025,70.05563986,NA,0.190376201,NA,0.100993399,11.8,10.6,4.1,548.5,26,0.3,25.7,5.6,8.3,18.8,4.7,883,91,56,12,246,200,207,236,NA,NA,-2.25,158.11556165,35.4804811234145,120.364145658264,92.39512516851
"36","6898","WW-LT",0.789473684210526,"centre","yes","An-1","CS76435","BEL",51.2167,4.4,5,"admixed",-0.000297462,45.5,175,116.9720232,172.96,3.801318681,0.818803562,63.875,110.5853422,2.4625,47.63381083,0.048783814,0.678474547,15.5,76.92539156,36.99533333,64.643855,NA,10,0.525133328,NA,0.267065415,44.1509434,0.120255776,NA,0.006048918,3722.165822,4.924265621,NA,NA,NA,NA,0.201851944,10.1,7.4,3.3,548.6,22,0,22,7.2,6.1,17,3.1,779,77,49,12,217,166,199,188,1.0848,0.0719,-2.23,138.91910385,59.0226792909719,66.8824688770801,84.6234056051179
"37","6898","WW-HT",1,"centre","yes","An-1","CS76435","BEL",51.2167,4.4,5,"admixed",-0.000297462,45.5,175,116.9720232,172.96,3.801318681,0.818803562,63.875,110.5853422,2.4625,47.63381083,0.048783814,0.678474547,15.5,76.92539156,36.99533333,64.643855,NA,10,0.525133328,NA,0.267065415,44.1509434,0.120255776,NA,0.006048918,3722.165822,4.924265621,NA,NA,NA,NA,0.201851944,10.1,7.4,3.3,548.6,22,0,22,7.2,6.1,17,3.1,779,77,49,12,217,166,199,188,1.0848,0.0719,-2.23,138.91910385,59.0226792909719,66.8824688770801,84.6234056051179
"38","6898","WD-LT",0.4,"centre","yes","An-1","CS76435","BEL",51.2167,4.4,5,"admixed",-0.000297462,45.5,175,116.9720232,172.96,3.801318681,0.818803562,63.875,110.5853422,2.4625,47.63381083,0.048783814,0.678474547,15.5,76.92539156,36.99533333,64.643855,NA,10,0.525133328,NA,0.267065415,44.1509434,0.120255776,NA,0.006048918,3722.165822,4.924265621,NA,NA,NA,NA,0.201851944,10.1,7.4,3.3,548.6,22,0,22,7.2,6.1,17,3.1,779,77,49,12,217,166,199,188,1.0848,0.0719,-2.23,138.91910385,59.0226792909719,66.8824688770801,84.6234056051179
"39","6898","WD-HT",0.75,"centre","yes","An-1","CS76435","BEL",51.2167,4.4,5,"admixed",-0.000297462,45.5,175,116.9720232,172.96,3.801318681,0.818803562,63.875,110.5853422,2.4625,47.63381083,0.048783814,0.678474547,15.5,76.92539156,36.99533333,64.643855,NA,10,0.525133328,NA,0.267065415,44.1509434,0.120255776,NA,0.006048918,3722.165822,4.924265621,NA,NA,NA,NA,0.201851944,10.1,7.4,3.3,548.6,22,0,22,7.2,6.1,17,3.1,779,77,49,12,217,166,199,188,1.0848,0.0719,-2.23,138.91910385,59.0226792909719,66.8824688770801,84.6234056051179
"40","6898","WW-CT",1,"centre","yes","An-1","CS76435","BEL",51.2167,4.4,5,"admixed",-0.000297462,45.5,175,116.9720232,172.96,3.801318681,0.818803562,63.875,110.5853422,2.4625,47.63381083,0.048783814,0.678474547,15.5,76.92539156,36.99533333,64.643855,NA,10,0.525133328,NA,0.267065415,44.1509434,0.120255776,NA,0.006048918,3722.165822,4.924265621,NA,NA,NA,NA,0.201851944,10.1,7.4,3.3,548.6,22,0,22,7.2,6.1,17,3.1,779,77,49,12,217,166,199,188,1.0848,0.0719,-2.23,138.91910385,59.0226792909719,66.8824688770801,84.6234056051179
"41","6911","WW-LT",0.473684210526316,"south","yes","Cvi-0","CS76789","CPV",15.1111,-23.6167,270,"relict",-0.000890943,35,88.5,104.5193615,38.285,1.093857143,0.997974245,34.25,99.13550898,6.2025,72.00931539,0.02280596,0.444,15.625,42.04409857,45.865,5.712733333,26,17,3.977199967,11.46676,1.667347937,33.23625515,0.092920412,2.944654088,0.05016654,2701.333333,4.35855,29.47589099,389.0216586,0.182824214,288.4228338,0.09133404,22.4,7,6.3,145.4,27.8,16.7,11.1,24.3,21.5,24.3,20.6,357,145,0,151,306,0,306,5,0.2911,0.1264,NA,202.3516534,57.8873197694764,59.3883600871178,84.4144396452004
"42","6911","WW-CT",1,"south","yes","Cvi-0","CS76789","CPV",15.1111,-23.6167,270,"relict",-0.000890943,35,88.5,104.5193615,38.285,1.093857143,0.997974245,34.25,99.13550898,6.2025,72.00931539,0.02280596,0.444,15.625,42.04409857,45.865,5.712733333,26,17,3.977199967,11.46676,1.667347937,33.23625515,0.092920412,2.944654088,0.05016654,2701.333333,4.35855,29.47589099,389.0216586,0.182824214,288.4228338,0.09133404,22.4,7,6.3,145.4,27.8,16.7,11.1,24.3,21.5,24.3,20.6,357,145,0,151,306,0,306,5,0.2911,0.1264,NA,202.3516534,57.8873197694764,59.3883600871178,84.4144396452004
"43","6911","WD-LT",0.25,"south","yes","Cvi-0","CS76789","CPV",15.1111,-23.6167,270,"relict",-0.000890943,35,88.5,104.5193615,38.285,1.093857143,0.997974245,34.25,99.13550898,6.2025,72.00931539,0.02280596,0.444,15.625,42.04409857,45.865,5.712733333,26,17,3.977199967,11.46676,1.667347937,33.23625515,0.092920412,2.944654088,0.05016654,2701.333333,4.35855,29.47589099,389.0216586,0.182824214,288.4228338,0.09133404,22.4,7,6.3,145.4,27.8,16.7,11.1,24.3,21.5,24.3,20.6,357,145,0,151,306,0,306,5,0.2911,0.1264,NA,202.3516534,57.8873197694764,59.3883600871178,84.4144396452004
"44","6911","WD-HT",0.7,"south","yes","Cvi-0","CS76789","CPV",15.1111,-23.6167,270,"relict",-0.000890943,35,88.5,104.5193615,38.285,1.093857143,0.997974245,34.25,99.13550898,6.2025,72.00931539,0.02280596,0.444,15.625,42.04409857,45.865,5.712733333,26,17,3.977199967,11.46676,1.667347937,33.23625515,0.092920412,2.944654088,0.05016654,2701.333333,4.35855,29.47589099,389.0216586,0.182824214,288.4228338,0.09133404,22.4,7,6.3,145.4,27.8,16.7,11.1,24.3,21.5,24.3,20.6,357,145,0,151,306,0,306,5,0.2911,0.1264,NA,202.3516534,57.8873197694764,59.3883600871178,84.4144396452004
"45","6911","WW-HT",1,"south","yes","Cvi-0","CS76789","CPV",15.1111,-23.6167,270,"relict",-0.000890943,35,88.5,104.5193615,38.285,1.093857143,0.997974245,34.25,99.13550898,6.2025,72.00931539,0.02280596,0.444,15.625,42.04409857,45.865,5.712733333,26,17,3.977199967,11.46676,1.667347937,33.23625515,0.092920412,2.944654088,0.05016654,2701.333333,4.35855,29.47589099,389.0216586,0.182824214,288.4228338,0.09133404,22.4,7,6.3,145.4,27.8,16.7,11.1,24.3,21.5,24.3,20.6,357,145,0,151,306,0,306,5,0.2911,0.1264,NA,202.3516534,57.8873197694764,59.3883600871178,84.4144396452004
"46","6915","WW-HT",0.947368421052632,"centre","yes","Ei-2","CS76478","GER",50.3,6.3,513,"germany",-0.000343657,59.5,137,121.1897691,553.28,9.298823529,0.680647024,51.875,97.35901717,4.08,50.7344273,0.040859481,0.668213707,4.75,59.5165825,40.963,79.14545475,23.5,44,4.503937374,9.292603333,3.039983546,21.97148775,0.169996962,2.5234375,0.138360387,2562.389233,5.004126913,37.37980769,248.599549,0.152509615,161.9861182,0.158734473,7.4,6.8,3,567.8,19.3,-2.9,22.2,1,3.4,14.5,0.1,1022,113,67,14,297,219,276,282,1.6056,0.0639,-2.58,100.879563015,61.5035649077564,71.9200721153846,78.0767884532419
"47","6915","WW-CT",1,"centre","yes","Ei-2","CS76478","GER",50.3,6.3,513,"germany",-0.000343657,59.5,137,121.1897691,553.28,9.298823529,0.680647024,51.875,97.35901717,4.08,50.7344273,0.040859481,0.668213707,4.75,59.5165825,40.963,79.14545475,23.5,44,4.503937374,9.292603333,3.039983546,21.97148775,0.169996962,2.5234375,0.138360387,2562.389233,5.004126913,37.37980769,248.599549,0.152509615,161.9861182,0.158734473,7.4,6.8,3,567.8,19.3,-2.9,22.2,1,3.4,14.5,0.1,1022,113,67,14,297,219,276,282,1.6056,0.0639,-2.58,100.879563015,61.5035649077564,71.9200721153846,78.0767884532419
"48","6915","WD-LT",0.473684210526316,"centre","yes","Ei-2","CS76478","GER",50.3,6.3,513,"germany",-0.000343657,59.5,137,121.1897691,553.28,9.298823529,0.680647024,51.875,97.35901717,4.08,50.7344273,0.040859481,0.668213707,4.75,59.5165825,40.963,79.14545475,23.5,44,4.503937374,9.292603333,3.039983546,21.97148775,0.169996962,2.5234375,0.138360387,2562.389233,5.004126913,37.37980769,248.599549,0.152509615,161.9861182,0.158734473,7.4,6.8,3,567.8,19.3,-2.9,22.2,1,3.4,14.5,0.1,1022,113,67,14,297,219,276,282,1.6056,0.0639,-2.58,100.879563015,61.5035649077564,71.9200721153846,78.0767884532419
"49","6915","WD-HT",0.789473684210526,"centre","yes","Ei-2","CS76478","GER",50.3,6.3,513,"germany",-0.000343657,59.5,137,121.1897691,553.28,9.298823529,0.680647024,51.875,97.35901717,4.08,50.7344273,0.040859481,0.668213707,4.75,59.5165825,40.963,79.14545475,23.5,44,4.503937374,9.292603333,3.039983546,21.97148775,0.169996962,2.5234375,0.138360387,2562.389233,5.004126913,37.37980769,248.599549,0.152509615,161.9861182,0.158734473,7.4,6.8,3,567.8,19.3,-2.9,22.2,1,3.4,14.5,0.1,1022,113,67,14,297,219,276,282,1.6056,0.0639,-2.58,100.879563015,61.5035649077564,71.9200721153846,78.0767884532419
"50","6915","WW-LT",0.9,"centre","yes","Ei-2","CS76478","GER",50.3,6.3,513,"germany",-0.000343657,59.5,137,121.1897691,553.28,9.298823529,0.680647024,51.875,97.35901717,4.08,50.7344273,0.040859481,0.668213707,4.75,59.5165825,40.963,79.14545475,23.5,44,4.503937374,9.292603333,3.039983546,21.97148775,0.169996962,2.5234375,0.138360387,2562.389233,5.004126913,37.37980769,248.599549,0.152509615,161.9861182,0.158734473,7.4,6.8,3,567.8,19.3,-2.9,22.2,1,3.4,14.5,0.1,1022,113,67,14,297,219,276,282,1.6056,0.0639,-2.58,100.879563015,61.5035649077564,71.9200721153846,78.0767884532419
"51","6958","WD-HT",0.777777777777778,"centre","yes","Ra-0","CS76582","FRA",46,3.3,316,"western_europe",0.000249832,48.5,203,121.4635629,275.94,5.689484536,0.763303135,41.25,97.10735741,4.933333333,69.55829185,0.032591114,0.538474547,3.625,72.10406504,37.75433333,27.945075,32,35,5.491348751,6.313581867,2.382852666,20.1759371,0.159396192,2.577481365,0.118103692,3695.333334,3.833625,51.07885445,123.6046097,0.251989015,166.8984994,0.113362646,10.8,10.4,3.8,584.6,25.5,-1.2,26.7,16.5,4.5,18.3,3.2,682,84,38,28,219,119,215,126,0.747,0.0921,-2.65,117.30256457,66.3123438184419,61.5988986539104,82.0515484820903
"52","6958","WW-LT",0.7,"centre","yes","Ra-0","CS76582","FRA",46,3.3,316,"western_europe",0.000249832,48.5,203,121.4635629,275.94,5.689484536,0.763303135,41.25,97.10735741,4.933333333,69.55829185,0.032591114,0.538474547,3.625,72.10406504,37.75433333,27.945075,32,35,5.491348751,6.313581867,2.382852666,20.1759371,0.159396192,2.577481365,0.118103692,3695.333334,3.833625,51.07885445,123.6046097,0.251989015,166.8984994,0.113362646,10.8,10.4,3.8,584.6,25.5,-1.2,26.7,16.5,4.5,18.3,3.2,682,84,38,28,219,119,215,126,0.747,0.0921,-2.65,117.30256457,66.3123438184419,61.5988986539104,82.0515484820903
"53","6958","WW-HT",1,"centre","yes","Ra-0","CS76582","FRA",46,3.3,316,"western_europe",0.000249832,48.5,203,121.4635629,275.94,5.689484536,0.763303135,41.25,97.10735741,4.933333333,69.55829185,0.032591114,0.538474547,3.625,72.10406504,37.75433333,27.945075,32,35,5.491348751,6.313581867,2.382852666,20.1759371,0.159396192,2.577481365,0.118103692,3695.333334,3.833625,51.07885445,123.6046097,0.251989015,166.8984994,0.113362646,10.8,10.4,3.8,584.6,25.5,-1.2,26.7,16.5,4.5,18.3,3.2,682,84,38,28,219,119,215,126,0.747,0.0921,-2.65,117.30256457,66.3123438184419,61.5988986539104,82.0515484820903
"54","6958","WW-CT",1,"centre","yes","Ra-0","CS76582","FRA",46,3.3,316,"western_europe",0.000249832,48.5,203,121.4635629,275.94,5.689484536,0.763303135,41.25,97.10735741,4.933333333,69.55829185,0.032591114,0.538474547,3.625,72.10406504,37.75433333,27.945075,32,35,5.491348751,6.313581867,2.382852666,20.1759371,0.159396192,2.577481365,0.118103692,3695.333334,3.833625,51.07885445,123.6046097,0.251989015,166.8984994,0.113362646,10.8,10.4,3.8,584.6,25.5,-1.2,26.7,16.5,4.5,18.3,3.2,682,84,38,28,219,119,215,126,0.747,0.0921,-2.65,117.30256457,66.3123438184419,61.5988986539104,82.0515484820903
"55","6958","WD-LT",0.555555555555556,"centre","yes","Ra-0","CS76582","FRA",46,3.3,316,"western_europe",0.000249832,48.5,203,121.4635629,275.94,5.689484536,0.763303135,41.25,97.10735741,4.933333333,69.55829185,0.032591114,0.538474547,3.625,72.10406504,37.75433333,27.945075,32,35,5.491348751,6.313581867,2.382852666,20.1759371,0.159396192,2.577481365,0.118103692,3695.333334,3.833625,51.07885445,123.6046097,0.251989015,166.8984994,0.113362646,10.8,10.4,3.8,584.6,25.5,-1.2,26.7,16.5,4.5,18.3,3.2,682,84,38,28,219,119,215,126,0.747,0.0921,-2.65,117.30256457,66.3123438184419,61.5988986539104,82.0515484820903
